symbol,isActive,isIndex
600249,TRUE,FALSE
600250,TRUE,FALSE
600251,TRUE,FALSE
600252,TRUE,FALSE
600253,TRUE,FALSE
600254,TRUE,FALSE
600255,TRUE,FALSE
600256,TRUE,FALSE
600257,TRUE,FALSE
600258,TRUE,FALSE
600259,TRUE,FALSE
600260,TRUE,FALSE
600261,TRUE,FALSE
600262,TRUE,FALSE
600263,TRUE,FALSE
600264,TRUE,FALSE
600265,TRUE,FALSE
600266,TRUE,FALSE
600267,TRUE,FALSE
600268,TRUE,FALSE
600269,TRUE,FALSE
600270,TRUE,FALSE
600271,TRUE,FALSE
600272,TRUE,FALSE
600273,TRUE,FALSE
600274,TRUE,FALSE
600275,TRUE,FALSE
600276,TRUE,FALSE
600277,TRUE,FALSE
600278,TRUE,FALSE
600279,TRUE,FALSE
600280,TRUE,FALSE
600281,TRUE,FALSE
600282,TRUE,FALSE
600283,TRUE,FALSE
600284,TRUE,FALSE
600285,TRUE,FALSE
600286,TRUE,FALSE
600287,TRUE,FALSE
600288,TRUE,FALSE
600289,TRUE,FALSE
600290,TRUE,FALSE
600291,TRUE,FALSE
600292,TRUE,FALSE
600293,TRUE,FALSE
600294,TRUE,FALSE
600295,TRUE,FALSE
600296,TRUE,FALSE
600297,TRUE,FALSE
600298,TRUE,FALSE
600299,TRUE,FALSE
600300,TRUE,FALSE
600301,TRUE,FALSE
600302,TRUE,FALSE
600303,TRUE,FALSE
600304,TRUE,FALSE
600305,TRUE,FALSE
600306,TRUE,FALSE
600307,TRUE,FALSE
600308,TRUE,FALSE
600309,TRUE,FALSE
600310,TRUE,FALSE
600311,TRUE,FALSE
600312,TRUE,FALSE
600313,TRUE,FALSE
600314,TRUE,FALSE
600315,TRUE,FALSE
600316,TRUE,FALSE
600317,TRUE,FALSE
600318,TRUE,FALSE
600319,TRUE,FALSE
600320,TRUE,FALSE
600321,TRUE,FALSE
600322,TRUE,FALSE
600323,TRUE,FALSE
600324,TRUE,FALSE
600325,TRUE,FALSE
600326,TRUE,FALSE
600327,TRUE,FALSE
600328,TRUE,FALSE
600329,TRUE,FALSE
600330,TRUE,FALSE
600331,TRUE,FALSE
600332,TRUE,FALSE
600333,TRUE,FALSE
600334,TRUE,FALSE
600335,TRUE,FALSE
600336,TRUE,FALSE
600337,TRUE,FALSE
600338,TRUE,FALSE
600339,TRUE,FALSE
600340,TRUE,FALSE
600341,TRUE,FALSE
600342,TRUE,FALSE
600343,TRUE,FALSE
600344,TRUE,FALSE
600345,TRUE,FALSE
600346,TRUE,FALSE
600347,TRUE,FALSE
600348,TRUE,FALSE
600349,TRUE,FALSE
600350,TRUE,FALSE
600351,TRUE,FALSE
600352,TRUE,FALSE
600353,TRUE,FALSE
600354,TRUE,FALSE
600355,TRUE,FALSE
600356,TRUE,FALSE
600357,TRUE,FALSE
600358,TRUE,FALSE
600359,TRUE,FALSE
600360,TRUE,FALSE
